Question,Answer,File
“Who is an Internal Ombudsman?”,“Internal ombudsman is an independent apex level authority within the bank appointed to enable and ensure speedy resolution of complaints at the bank level,Banking_Sector
“Who is a Banking Ombudsman?”,“The Banking Ombudsman is a senior official appointed by the Reserve Bank of India to redress customer complaints against deficiency in certain banking services covered under the grounds of complaint specified.”,Banking_Sector
“Which banks are covered under the Banking Ombudsman Scheme?”,"“All Scheduled Commercial Banks, Regional Rural Banks and Scheduled Primary Co-operative Banks are covered under the Scheme.”",Banking_Sector
“When can one file a complaint?”,"“One can file a complaint before the Banking Ombudsman if a reply is not received from the bank for a period of 30 days or the bank rejects the complaint, or if the complainant is not satisfied with the reply given by the bank.”",Banking_Sector
“Is there any cost involved in filing complaints with Banking Ombudsman?”,"“No. The Banking Ombudsman does not charge any fee for filing and resolving customers’ complaints.
For more information please visit https://cms.rbi.org.in/cms/indexpage.html#eng”",Banking_Sector
“What is a debit card?”,"“A debit card works like an electronic check. Because the payment is deducted directly from a checking or savings account. If you use a debit card at a retail store, you or the cashier can run your card through a scanner that enables your financial institution to verify electronically that the funds are available and approve the transaction. Most debit cards also can be used to withdraw cash at ATMs (automated teller machines).”",Banking_Sector
“What are Prepaid Payment Instruments ( PPI’s) ?”,"“Prepaid payment Instruments can be used to buy goods and services as well as transfer and send money to a friend, family, etc. The loading /reloading of such PPI is only from a bank account and to be used for making only digital payments such as bill payments, merchant payments, etc.  Such PPIs can be issued on the basis of essential minimum details sourced from the customer. All PPI’s are issued on the prescribed KYC norms.",Banking_Sector
“What is the framework for “Limiting Liability of Customers for Unauthorized Electronic Payment Transactions?”,"“Consumer using pre-paid payment instruments (PPIs) issued by banks were protected by limiting their liability towards unauthorized electronic transactions. With effect from March 01, 2019, this facility was extended to customers using non-bank issued PPIs as well. The purpose of prescribing a framework for “Limiting Liability of Customers for Unauthorised Electronic Payment Transactions in Prepaid Payment Instruments (PPIs) issued by Authorized Non-banks” was to limit the liability of customers against unauthorized electronic payment transactions in PPIs issued by non-bank issuers. Further, an enhanced consumer grievance redressal framework was also implemented, prescribing the limits up to which a customer may bear liability under various scenarios like contributory frauds, negligence or deficiency on part of non-bank PPI issuer, third party breach, where the deficiency lies neither with the issuer nor with the customer, and scenarios in which the loss is due to negligence of the customer.”",Banking_Sector
“What Is a Mobile Wallet or Digital Wallet?”,“A consumer can store his money in a digital or mobile wallet and carry out online as well as offline transactions without using cash to make purchases. A mobile wallet is a PPI and is a virtual wallet that stores payment card information on a mobile device. Mobile wallets are a convenient way for a user to make in-store payments and can be used at merchants listed with the mobile wallet service provider.”,Banking_Sector
“ How does one use a mobile wallet?”,"“To use this wallet, first you have to open your account in that wallet of your choice and for this it is mandatory to have a mobile number. After registering to this service, money can be transferred to the wallet with the help of a debit or credit card and then at the time of purchase you can use money wallet with the help of a smartphone or mobile.”",Banking_Sector
“What is a payment gateway?”,"“The payment gateway works as the middleman between the customer and the merchant, ensuring the transaction is carried out securely and promptly. An online payment gateway can simplify how merchants integrate the necessary software. As the middleman during the payment processing, the gateway manages the customer’s sensitive card details between the acquirer and the merchant.”",Banking_Sector
“How does a Payment Gateway work?”,"“A customer initiates the payment transaction by clicking on ‘buy now’ or its equivalent button on the website.
·  E-commerce platform takes the customer to a payment gateway where the customer has to input the relevant details.
·   Payment gateway redirects the customer to a secure (consumer to check) page for authorizing the transaction.
· Once the transaction is approved by the payment gateway, banks check the  customer’s account to decide whether the transaction is a success
·  Payment gateway sends the message (successful transaction or error in the transaction) to the customer.
·   If the transaction is successful, the bank settles the payment with the payment gateway.
·   The payment gateway then settles the payment with the merchant, notifying the customer that the transaction is successful and the payment process is complete.”",Banking_Sector
“What is AePS (Aadhar Enabled Payment Service)?”,"“AePS is a bank led model which allows online interoperable final inclusion transactions at PoS (Micro ATM) through the business correspondent of any bank using Aadhaar authentication. In the past few months, several use cases like Loan EMI collection, premium collections, payment on delivery etc. have been developed and operationalized on AePS based - BHIM Aadhaar service with an aim to enable wider financial inclusion.  The four Aadhaar-enabled basic types of banking transactions are Balance Enquiry, Cash Withdrawal, Cash Deposit, Aadhaar to Aadhaar Funds Transfer.”",Banking_Sector
“What is the Internal Ombudsman for Non-Bank Prepaid Payment Instruments?”,"“NEFT offers many advantages over the other modes of funds transfer:
-      The remitter need not send the physical cheque or Demand Draft to the beneficiary.
-      The beneficiary need not visit his / her bank for depositing the paper instruments.
-      The beneficiary need not be apprehensive of loss / theft of physical instruments or the likelihood of fraudulent encashment thereof.
-      Cost effective.
-      Credit confirmation of the remittances sent by SMS or email.
-      Remitter can initiate the remittances from his home / place of work using the internet banking also.
-      Near real time transfer of the funds to the beneficiary account in a secure manner.”

Real Time Gross Settlements FAQs",Banking_Sector
“What is the RTGS System?”,"“The acronym 'RTGS' stands for Real Time Gross Settlement, which can be defined as the continuous (real-time) settlement of funds transfers individually on an order by order basis (without netting). 'Real Time' means the processing of instructions at the time they are received rather than at some later time; 'Gross Settlement' means the settlement of funds transfer instructions occurs individually (on an instruction by instruction basis). Considering that the funds settlement takes place in the books of the Reserve Bank of India, the payments are final and irrevocable.”",Banking_Sector
“How is RTGS different from the National Electronics Funds Transfer System (NEFT)?”,"“NEFT is an electronic fund transfer system that operates on a Deferred Net Settlement (DNS) basis which settles transactions in batches. In DNS, the settlement takes place with all transactions received till the particular cut-off time. These transactions are netted (payable and receivables) in NEFT whereas in RTGS the transactions are settled individually. For example, currently, NEFT operates in hourly batches. [There are twelve settlements from 8 am to 7 pm on week days and six settlements from 8 am to 1 pm on Saturdays.] Any transaction initiated after a designated settlement time would have to wait till the next designated settlement time Contrary to this, in the RTGS transactions are processed continuously throughout the RTGS business hours.”",Banking_Sector
“Would the remitting customer get back the money if it is not credited to the beneficiary's account? When?”,"“Yes. Funds, received by a RTGS member for the credit to a beneficiary customer’s account, will be returned to the originating RTGS member within one hour of the receipt of the payment at the PI of the recipient bank or before the end of the RTGS Business day, whichever is earlier, if it is not possible to credit the funds to the beneficiary customer’s account for any reason e.g. account does not exist, account frozen, etc. Once the money is received back by the remitting bank, the original debit entry in the customer's account is reversed.”",Banking_Sector
“What about Processing Charges / Service Charges for RTGS transactions?”,"“With a view to rationalize the service charges levied by banks for offering funds transfer through RTGS system, a broad framework has been mandated by RBI. Please refer to the RBI site for details pertaining to service charges for RTGS Transactions.”",Banking_Sector
“What is the essential information that the remitting customer would have to furnish to a bank for the remittance to be effected?”,"“The remitting customer has to furnish the following information to a bank for initiating a RTGS remittance:
Amount to be remitted
Remitting customer’s account number which is to be debited
Name of the beneficiary bank and branch
The IFSC Number of the receiving branch
Name of the beneficiary customer
Account number of the beneficiary customer
Sender to receiver information, if any.”",Banking_Sector
“How would one know the IFSC number of the receiving branch?”,"“The beneficiary customer can obtain the IFSC code from his bank branch. The IFSC code is also available on the cheque leaf. The list of IFSCs is also available on the RBI website. This code number and bank branch details can be communicated by the beneficiary to the remitting customer.”


Shares and Brokerage FAQs",Banking_Sector
“What are the kinds of Grievances noted in Shares and Brokerage?”,"“The Various Types of Investors? Grievances observed by SEBI in connection of Shares are as follows:
1. Delay in transfer of shares
2. Non-receipt of shares/dividends/rights/bonus shares
3. Delay/ Non-receipts in issue of duplicate shares
4. Delay/ Non-receipt of annual reports
5. Delay/ Non-receipt of redemption amount of debentures
6. Delay/ Non-receipt of interest on debentures
7. Delay/ Non-credit of shares in the account by the broker
8. Delay/ Non-payment of sale proceeds by the broker etc.
9. Manipulation in the accounts statements
10. Unauthorized trades and unauthorized movements of shares and funds from the clients? accounts.
11. Dabba Trading/ churning etc. in clients? accounts
12. Delay/ Non-updating the changed detail of Investors.
The market regulator has initiated a centralized online system for lodging and tracking complaints. Here's how to redress your grievances.”",Banking_Sector
“Where to complaint?”,"“For registering a complaint, access https://scores.sebi.gov.in/scores-home/ and click on the 'complaint registration' tab under 'Investor Corner'.”",Banking_Sector
“What is SCORES?”,“It stands for SEBI Complaints Redress System.”,Banking_Sector
“How is the complaint processed?”,"“The complaint is scrutinized by SEBI to see if the subject falls under its purview. If it does, SEBI forwards it to the concerned entity with advice to send a written reply to the investor and file an action-taken report within 30 days.
Track the status of your complaint: To check your complaint status, click on 'View Complaint Status' under 'Investor Corner' on the home page.
STEP 1: Provide the complaint registration number which was allotted at the time of registration.
STEP 2: Enter your password:
In case of online complaints, your email address is your password.
In case of physical complaints sent to SEBI, enter the password sent to you by SEBI in the acknowledgment letter.
RESULTS: On verifying the correctness of the registration number, password, and security code, the current status of your complaint is displayed.”",Banking_Sector
“When are complaints not taken up by SEBI?”,"“Your complaint may not be taken up if:
It is incomplete or not specific.
The allegation is not supported by documents.
You are simply offering suggestions or seeking guidance/explanation.
You want to seek an explanation for non-trading or illiquidity of shares.
You are not satisfied with the trading price of shares.
It is about non-listing of shares of a private offer.
It concerns disputes arising from a private agreement with companies/intermediaries.
Complaints that are sub-judice (relating to cases which are under consideration by court of law, quasi-judicial proceedings etc.)
Complaints falling under the purview of other regulatory bodies viz. RBI, IRDAI, PFRDA, CCI, etc., or under the purview of other ministries viz., MCA, etc.”",Banking_Sector
“How complaints can be informed to SEBI?”,"“A complaint that has been taken up with the company concerned can be registered on SCORES if the investor is not satisfied with the response.
Unlisted companies and entities not registered with SEBI are not covered by SCORES.
An investor, who is not familiar with SCORES or has no access to the website, can lodge a complaint in the physical form by mail to any SEBI office. Such complaints are scanned and uploaded in SCORES for processing.
You can also call up SEBI's toll-free helpline service number for guidance. Dial 1800 266 7575 or 1800 22 7575 (The service is available in 14 languages). For more information please visit https://scores.sebi.gov.in/scores-home/.”

Bharat QR FAQs",Banking_Sector
"""Whom should I contact if I have issues with accepting payments?""
 Answer: ""Please get in touch with your acquiring bank helpdesk.""
 —",“IMPS is an innovative real time payment service that is available round the clock. This service is offered by National Payments Corporation of India (NPCI) that empowers customers to transfer money instantly through banks and RBI authorized Prepaid Payment Instrument Issuers (PPI) across India.”,Banking_Sector
“What is medical negligence?”,"“Recently, there has been a rise in patient rights awareness in Indian culture. When a patient seeks medical advice, the practitioner owes them certain obligations. Negligence is the result of a failure to perform this responsibility. Negligence means carelessness or a lack of proper care and attention. To constitute negligence three elements must be fulfilled:-
• Firstly there must be a duty to take care on the part of the opposite party towards the complainant.
• There must be a breach of that duty.
• Damage or injury by the complainant as a result of such breach.
Apart from protection from negligence, patients also have certain rights:
• Patients have the right to be told about their illness, and to have their medical records explained.
• Patients should be explained about whatever treatment/medicines are prescribed to them. They should be made aware of the risks and side effects, if any. They have the right to ask questions and clarify their doubts about the treatment.
• Patients have the right to maintain confidentiality regarding their illness and can expect the same from the doctors.
• Patients have the right to a second opinion if they are doubtful about the medicines or treatment suggested.
• Patients have the right to know what a suggested operation/surgery is for, and the possible risks involved. If he/she is unconscious or unable to make the decision due to other reasons, informed consent needs to be taken from their nearest relatives.
The preservation of a patient's rights must not, however, come at the expense of the professional's autonomy and honesty. There is unquestionably a need to strike a careful equilibrium.”",Medical_Negligence
“What are the grounds available for complaints?”,"“
There is breach of duty by the doctor because of which an injury is caused
If the consent of a person/patient before performing acts like surgical operations and in some cases treatment as well, has not been obtained.
Damage to organs due to negligence.
Wrong treatment due to wrong diagnosis.
Money receipt or prescription or discharge summary or test reports when not provided.
When treatment is not chosen as accepted and established in medical norms /as per medical research/available medical literature.
Theory of res ipsa loquitur [a thing speaks of itself] - in case any instrument left in the body, a wrong part removed, allopathic treatment given by a homeopathic doctor etc.
Govt Hospital liable if contribution from the employee’s salary deducted OR Payment made by insurance company.
Hospitals can also be negligent ‘it is a case of non- availability of oxygen cylinder either because the hospital failed to keep available a gas cylinder or because of the gas cylinder being found empty.”",Medical_Negligence
“What are the duties required of medical professionals?”,"“CODE OF MEDICAL ETHICS REGULATION 2002
This regulation states the code of etiquettes and morals to be followed by a registered medical practitioner.
Duties and Responsibilities of a Physician:
• He should maintain medical records.
• Every physician has to display their registration number. Must be qualified and recognized by Medical Council of India and registered with Medical Council of India/State Medical Council (s)
• A physician is to prescribe the name of the drugs with their generic name.
• Every physician has to provide highest quality assurance in patient care.
• Every physician has an obligation to expose unethical conduct.
• A physician should announce his fees before rendering service and not after the operation or treatment is under way.
• The physician shall observe the laws of the country in regulating the practice of medicine
and shall also not assist others to evade such laws.
• The physician has to maintain secrecy regarding the patient’s health. No revelation is to
be made until or unless it is made to protect a healthy person from a communicable
disease.
• The physician should neither exaggerate nor minimize the gravity of a patient’s
condition.
• The physician has to avoid unnecessary consultations.
Physician rendering service on behalf of the state shall refrain from anticipating or accepting any consideration.
The practitioner shall not willfully commit an act of negligence that may deprive his patient or patients from necessary medical care.
In case of telemedicine and teleconsultation, the Ethics and Medical Registration Board have laid down extensive regulations - Refer https://www.nmc.org.in/rules-regulations/national-medical-commission-registered-medical-practitioner-professional-conduct-regulations-2023-reg/

MISCONDUCT BY A PHYSICIAN
Adultery or Improper Conduct:
The misuse of power and position by a physician by committing adultery or improper conduct with a patient would make the physician liable for disciplinary action as provided under the Indian Medical Council Act, 1956 or the concerned State Medical Council Act.
Sex Determination Tests:
Unless there are other absolute indications for termination of pregnancy as specified in the Medical Termination of Pregnancy Act, 1971, no termination of pregnancy is to be made. No sex determination tests are to be taken with an intention to terminate female fetus, and such an act done by a physician would result in criminal proceedings.
Signing Professional Certificates, Reports and Other Documents:
Due care is to be taken while prescribing drugs to a patient. No physician can allow an
unqualified person to perform abortion or surgery. If a procedure involves them becoming
sterile, a consent has to be obtained from the man, woman or guardian in case of minors. If the patient is married and both the consent of husband and wife is to be taken.
Research:
Clinical drug trials and other research involving patients are to be done in accordance with the ICMR guidelines. Violation of the guidelines constitutes misconducts.
Absenteeism:
If a medical practitioner posted in rural area or an institute is found absent on two occasions while an inspection is done, it amounts to misconduct.
Leaking of photographs:
No photographs or case reports are to be published by the medical practitioner without their permission/ consent.
Liability:
If a nursing home is run by a physician the ultimate responsibility lies in the hand of the
physician.
Can’t Claim to be a specialist:
A Physician shall not claim to be specialist unless he has a special qualification in that branch.",Medical_Negligence
“When would complaints not be accepted?”,"“There are various situations which might cause the complaint to be rejected. These include situations where the consumer is unable to file an appeal against an order within a period of three months, where the complaint is based on a frivolous cause of action, where the complainant contributed to the negligence, where the complaint falls outside the jurisdiction of the authority approached, and when the complaint has been filed under wrong sections of the act, and other such situations. This requires careful reading of all acts and regulations.”

A doctor is not guilty of negligence if he has acted in accordance with a practice that is accepted as proper by a responsible body of medical persons skilled in that particular area.

The doctor cannot guarantee complete success of medical treatment as the same would differ in case to case depending on the age and health of the patient, the stage of the ailment and the body response of the patient.”
— Dr. Laxman Balakrishna Joshi v. Dr. Trimbak Babu Godbole
The duties of a medical practitioner were defined; i) he owes a duty of care in deciding whether to undertake the case, ii) he owes a duty of care in deciding what treatment to give and, iii) he owes a duty of care in the administration of that treatment.",Medical_Negligence
“What are the modes or methods of complaint available?”,"“
There are two main modes of complaint redressal. The first is aimed at monetary relief in the form of compensation, while the second is to bring disciplinary action against the concerned physician.

First Mode: Monetary Compensation
Reach out to the Medical Superintendent (M.S) of the concerned Hospital with a copy of the complaint to the Chief Medical Officer (CMO)/ Civil Surgeon of your area. This may lead to a settlement offer from the concerned Hospital. Kindly consult a legal representative for this process.
If the response is unsatisfactory, the complainant is free to take the service provider to the consumer courts, or even police station. It is preferable to approach the consumer courts before. Doctors can be held liable for compensation under the CPA 2019. Patients qualify as a “consumer” under the Act. As a consumer, the aggrieved party can take the service provider to the appropriate consumer commission, based on the pecuniary and territorial jurisdiction. The jurisdictions of the various consumer commissions are as follows-
a) District Commission: The aggrieved consumer can reach out to the District Commission under section 34 of the CPA, 2019, which provides that the district commission shall entertain matters where the value of the goods or services paid as consideration does not exceed more than 50 lakh rupees.
b) State Commission: In cases where the value of the goods or services paid as consideration exceeds 50 lakh rupees but does not exceed 2 crore rupees, the consumer can approach the State Commission. Moreover, in cases of unfair contracts, the State Commission has original jurisdiction and the consumer can be directly approached. An appeal against the order of the District Commission can also be made under section 47 of the CPA, 2019.
c) National Commission: The National Commission can entertain matters where the value of goods or services paid as consideration exceeds 2 crore rupees. Section 58 also provides that complaints against unfair contracts can be entertained by NCDRC when the amount of value paid exceeds 10 crore rupees. The NCDRC also has appellate jurisdiction against the orders of any State Commission and Central Authority.
Moreover, it must also be kept in mind that section 100 of the CPA, 2019 provides that the remedy under CPA is in addition and not in derogation of other available remedies.

Second Mode - Disciplinary Action for Ethics Violation
This mode does not provide for monetary compensation to the complainant. It is meant to attract disciplinary action upon the concerned physician. You may, write a complaint to the State Medical Council(SMC). https://www.nmc.org.in/information-desk/state-medical-councils/list-of-state-medical-councils/
The aggrieved person will file the complaint to the State Medical council through the website portal/offline, within 2 years from the cause of action. (The complaint will be lodged in the SMC where the Registered Medical Practitioner is located at the time of cause of action, both in teleconsultation or in person consultation) The Manner of Inquiry is as follows:
On receipt of the complaint, the SMC shall send one of the copies received to the respondent within 15 working days.
The State Medical Council shall conduct an inquiry into the complaint following the principles of natural justice.
On receipt of the complaint, the State Medical Council shall refer the case for review to the designated committee, with assistance from a panel of experts, if required, specifically formed for this purpose in the stipulated time.
The parties shall not be allowed to bring in any lawyer to represent them in their case at any stage of the proceedings before the state medical council
No new documents or certificates or evidence or witness will be entertained from either of the parties once the proceedings are initiated (meaning -after the parties have been called for a hearing) unless its admission is cleared by the majority of the members. The complaint cannot be withdrawn after it is admitted by the SMC.
The SMC is entitled to take disciplinary action against the accused personnel, suspend license, and can impose monetary penalty on the practitioner/respondent. The proceeds of the monetary penalty shall go to the SMC/EMRB/NMC bank account.
If aggrieved, the medical personnel can prefer appeal to the Ethics and Medical Registration Board. If the personnel’s appeal is dismissed, they can prefer a second appeal against the Ethics Board’s decision with the National Medical Commission. Kindly remember that the original complainant cannot avail of either of these appeals. However, the original complainant can proceed to undertake civil or criminal action in the appropriate courts outlined below.


”",Medical_Negligence
“What are the regulatory bodies in this sector?”,"“Central Drug Standard Control Organization- consumer education on safety and drugs- https://cdsco.gov.in/opencms/opencms/en/consumer/
Indian Council of Medical Research
Ministry of Health and Family Welfare”
National Medical Commission
Ethics and Medical Standards Board
State Medical Councils",Medical_Negligence
"“What are the rules, Acts, and Guidelines that govern this sector?”","National Health Policy, 2017 - https://www.nhp.gov.in/nhpfiles/national_health_policy_2017.pdf
The Clinical Establishments (Registration and Regulation) Act, 2010- prescribes minimum standards for facilities at government and private hospitals- https://www.indiacode.nic.in/bitstream/123456789/7798/1/201023_clinical_establishments_%28registration_and_regulation%29_act%2C_2010.pdf
The Bureau of Indian Standards Act, 2016- it sets out standards for goods and services, which includes healthcare services.- https://www.indiacode.nic.in/bitstream/123456789/2157/3/A2016-11.pdf
The Indian Medical Council (Professional Conduct, Etiquette and Ethics) Regulations, 2002 lays down the code of medical ethics and code of conduct which must be adhered to by every registered medical practitioner in India.- https://wbconsumers.gov.in/writereaddata/ACT%20&%20RULES/Relevant%20Act%20&%20Rules/Code%20of%20Medical%20Ethics%20Regulations.pdf ”
National Medical Commission Act, 2019 - https://www.indiacode.nic.in/handle/123456789/11820?view_type=search&col=123456789/1362
National Medical Commission (Registered Medical Practitioner Professional Conduct) Regulations 2023 - https://www.nmc.org.in/rules-regulations/national-medical-commission-registered-medical-practitioner-professional-conduct-regulations-2023-reg/",Medical_Negligence
“What are the landmark judgements in this sector?”,"“1. Indian Medical Association v. V.P. Shantha & Ors
Medical treatment was to be considered to be a service and accordingly, medical practitioners could be liable for deficiency of service.

2. Kusum Sharma v. Batra Hospital and Medical Research Centre
Duty of care which is required of a doctor is one involving a reasonable degree of skill and knowledge as laid down in the Bolam case and adopted by Indian Courts.

3. Achutrao Haribhau Khodwa v. State of Maharashtra & Ors
A doctor is vicariously liable for the negligence committed by members of his team which was assisting in the treatment.

4. Smt. Savita Garg v. Director, National Heart Institute
The onus shifts on the hospital to explain the exact line of treatment rendered and as to why a particular condition had occurred.

5.  Dr. Laxman Balakrishna Joshi v. Dr. Trimbak Babu Godbole
The duties of a medical practitioner were defined; i) he owes a duty of care in deciding whether to undertake the case, ii) he owes a duty of care in deciding what treatment to give and, iii) he owes a duty of care in the administration of that treatment.

6. Tanveer Jahan v. All India Institute of Medical Science and Ors.
There has to be “a direct nexus” between sufferings of a patient and the medical aid that she has received, to sue the doctor.

7. Bijoy Sinha Roy (d) By Lr. v. Biswanath Das & Ors
The operation should not have been performed at a nursing home which did not have the ICU when it could be reasonably foreseen that without ICU there was post-operative risk to the life of the patient. The Supreme Court through its order awarded compensation  to the victim.

8. Sushmita Roychowdhury and Ors., v. B.M. Birla Heart Research Centre and Ors
NCDRC held that there was deficiency on the part of the hospital in maintaining proper record of the patient as there is no satisfactory explanation for the missing treatment prescriptions and the goof up in the master register of operation theatre.

9. Srimannarayana v. Dasari Santakumari and another
What may be negligence in civil law may not necessarily be negligence in criminal law. For negligence to amount to an offence, the element of mens rea must be shown to exist. For an act to amount to criminal negligence, the degree of negligence should be much higher i.e. gross or of a very high degree. Negligence which is neither gross nor of a higher degree may provide a ground for action in civil law but cannot form the basis for prosecution.

10. Handa Nursing Home And Ors. v. Ram Kal
The treatment administered in this case was as per standard procedure. The expert committee indicated that the tests would have been advisable prior to the operative intervention but nowhere mentioned that without these tests Petitioner committed deficiency in giving treatment.”",Medical_Negligence
"“What are the rules, Acts, and Guidelines that govern this sector?”","“1.INGRAM- https://consumerhelpline.gov.in/faq-details.php?fid=Medical%20Negligence
2. The NHM division of the Ministry of Health and Family Welfare with technical support from NHSRC has come out with guidelines which can help the states in establishing and effectively operationalizing a client friendly, dedicated and transparent system for redressal of grievances-
https://nhm.gov.in/images/pdf/programmes/Grievance_Redressal_System/Guidelines_for_Establishing_Grievance_Redressal_and%20_Health_Helpline.pdf
3. List of State Health departments- https://main.mohfw.gov.in/Organisation/state-health-departments-0  ”",Medical_Negligence
“What are health services?”,"“Health services or health care is the maintenance or improvement of health by prevention, diagnosis, treatment, recovery, or cure of disease, illness, injury, and other physical and mental impairments in people. Health care is delivered by health professionals and allied health fields.”
—Indian Medical Association v. V.P. Shantha & Ors
The present case deals with the question of whether medical practitioners and hospitals/nursing homes can be regarded as rendering a ‘service’ as contemplated in the main part of Section 2(1)(o) of the Act. The Court held that medical practitioners and hospitals/nursing homes are not immune from a claim for damages on the ground of negligence and, therefore, they are not outside the purview of the provisions of the Act. The Court also held that the composition of the Consumer Disputes Redressal Agencies is suitable for adjudicating on issues arising in a complaint regarding deficiency in service rendered by a medical practitioner. The Court further held that free service and paying service both fall within the ambit of Section 2(1)(o) of the Act. The Court remitted the case to the National Commission for consideration in the light of this judgment.",Medical_Negligence
“Is Medical Negligence covered under Consumer Protection Act?”,"“Yes, in 1995, the Supreme Court brought the medical profession under the Consumer Protection Act 1986 and medical treatments were labeled as ""services"".”
— Achutrao Haribhau Khodwa v. State of Maharashtra & Ors
A doctor is vicariously liable for the negligence committed by members of his team which was assisting in the treatment. It is the rule that an employer, though guilty of no fault himself, is liable for the damage done by the fault or negligence of his servant acting in the course of his employment. It was held in this case that medical practitioners were not immune from a claim for damages on the ground of negligence. Once death by negligence in the hospital is established, as in the case here, the State would be liable to pay the damages.
— Tanveer Jahan v. All India Institute of Medical Science and Ors.
There has to be “a direct nexus” between sufferings of a patient and the medical aid that she has received, to sue the doctor. Medical procedures inherently carry risks, and complications do not automatically imply negligence.",Medical_Negligence
“Does someone who is not satisfied with the results of his or her surgery have a viable medical negligence claim?”,"“In general, there are no guarantees of medical results, and unexpected or unsuccessful results do not necessarily mean negligence has occurred. To succeed in a medical negligence case, a consumer has to show an injury or damages that resulted from the doctor's deviation from the standard of care applicable to the procedure.”
—Kusum Sharma v. Batra Hospital and Medical Research Centre
Duty of care which is required of a doctor is one involving a reasonable degree of skill and knowledge as laid down in the Bolam case and adopted by Indian Courts. We must insist on due care for the patient at every point, but we must not condemn negligence that is only a misadventure. The test is the standard of the ordinary skilled man exercising and professing to have that special skill. Negligence cannot be attributed to a doctor so long as he performs his duties with reasonable skill and competence. The medical professionals are entitled to get protection so long as they perform their duties with reasonable skill and competence and in the interest of the patients.
–Smt. Savita Garg v. Director, National Heart Institute
The onus shifts on the hospital to explain the exact line of treatment rendered and as to why a particular condition had occurred. The hospital has a duty to satisfy that there was no lack of care or diligence. The hospitals are institutions, people expect better and efficient service, if the hospital fails to discharge their duties through their doctors, being employed on job basis or employed on contract basis, it is the hospital which has to justify and not impleading a particular doctor will not absolve the hospital of its responsibilities.",Medical_Negligence
“Can a Doctor Guarantee Complete success of the Medical Treatment?”,"“No. The Doctor cannot guarantee the complete success of any medical treatment as the same would differ in case to case, depending on the age and health of the patient, the stage of the Ailment, and the body response of the patient.”",Medical_Negligence
“What is telemedicine?”,"“The delivery of health-care services, where distance is a criticalfactor, by all health-care professionals using information and communicationstechnologies for the exchange of valid information for the diagnosis, treatment, and prevention of disease and injuries, research and evaluation, and the continuing education of health-care workers, with the aim of advancing the health of individuals and communities.”",Medical_Negligence
“Who is eligible to practice telemedicine?”,"“i. A Registered Medical Practitioner (RMP)is eligible to provide telemedicine consultation to patients from any part of India. In case of any complaints of misconduct, the complaint will be lodged in the State Medical Council of the State, where the RMP is located at the time of providing tele-consultation.
ii. RMPs using telemedicine shall uphold the same professional and ethical norms and standards as are applicable in routine in-person consultations within the intrinsic limitations of telemedicine.
iii. All RMPs who wish to practice telemedicine should be made familiar with these Guidelines as well as with the processes and limitations of telemedicine practice.”",Medical_Negligence
“What are the modes of communication to practice telemedicine?”,"“
The applicable modes are Video, Audio and Text-based Mediums.”",Medical_Negligence
“What are the duties of Registered Medical Practitioners in teleconsultations?”,"“
Should exercise professional judgment to ascertain whether a telemedicine consultation would be appropriate in a given situation or would an in-person consultation be a better option keeping the patient’s best interest in mind.
The RMP should uphold the standard of care as s/he does for in-person consultations within the inherent limitations of telemedicine.
Telemedicine consultation should not be anonymous: the patient and the RMP should know and establish each other’s identities
The tele consultation should be carried out by the RMP in a language that the patient is comfortable in comprehending for an effective consultation.
For issuing a prescription, the RMP should explicitly ask the age of the patient, and if there is any doubt, seek proof of age. In cases where the patient is a minor, after confirming the patient’s age, tele consultation should proceed only if the minor is accompanied by an adult (preferably a parent or adult sibling or legally appointed guardian) during the entire duration of the consultation. The identity of the adult should be ascertained and documented for records
Every RMP shall display the registration number accorded to her/him by the State Medical Council or NMC, on all prescriptions, their website, electronic communications (WhatsApp/ email etc.) and receipts etc. given to her/his patients
Obtaining and duly recording the Patient's consent is mandatory for any telemedicine consultation.
If the information desired from a physical examination is critical for the management of the patient, the RMP should not proceed with the consultation till such time that a physical examination can be arranged through an in-person consultation.
The RMP must aim to ensure that patient confidentiality, privacy and data integrity are not compromised. Data obtained during a telemedicine consultation must be secured to prevent unauthorized access and breaches of identifiable patient information using appropriate and up to date security measures in accordance with prevailing legislation.”",Medical_Negligence
“Should consent be taken in teleconsultations?”,"“
Obtaining and duly recording the Patient's consent is mandatory for any telemedicine consultation. The RMP must ascertain whether the patient is competent to give consent for it to be considered valid. Also, the RMPs should ensure that consent is obtained in a language that the patients can comprehend with ease.
Consent may be implied or explicit, depending on who has initiated the telemedicine consultation
If, the patient has initiated or solicited the telemedicine consultation, then the consent is implied
If the RMP, healthcare worker or a caregiver initiates the consultation, then the consent is explicit and hence,mandatory.
Explicit consent must be recorded in any form.
In case of minors (less than 18years), consent has to be obtained from a parent or from an adult sibling or legally appointed guardian”",Medical_Negligence
