,Question,Answer,Filename
263,Generate QR, Create custom QR with a specific amount for multiple use.,Banking Sector
264,What is BHIM Aadhaar? ,"BHIM Aadhaar is the common mobile app published and managed by National Payments Corporation of India NPCI for any merchant associated with any acquiring bank on BHIM Aadhaar Pay service to allow the merchant to accept payment from a customer of any bank by authenticating the customers biometrics currently only fingerprints directly from the customers bank account and receive the sale proceeds instantaneously into the merchants own bank account. To be able to effect the same, the merchant must have an Android mobile with the BHIM Aadhaar app and a certified biometric scanner attached with the mobile phone on the USB port, and both the merchant and the customer should have linked their Aadhaar numbers to their bank accounts respectively.",Banking Sector
265,Is BHIM Aadhaar available for all handsets and Operating Systems? ,"Currently, BHIM Aadhaar is only available on Android 4.4.2 JellyBean or above with a USB port and should work on all devices complying with OS specified. Please note that rooted phones are excluded, i.e., the app will not work on rooted phones.",Banking Sector
266,Can the transactions be done on a feature phone?,"No. Transactions can only be done on a smart phone OR in the case of bank custom BHIM Aadhaar app, on a device as specified by your acquiring bank with a certified biometric scanner attached.",Banking Sector
267,Who can use BHIM Aadhaar to make payments to participating merchants? ,Any resident of India holding a valid Aadhaar number and having an Aadhaar linked bank account may use BHIM Aadhaar for purchasing goods/services at merchant locations offering such services.,Banking Sector
268,Can the transactions be done with a debit/ credit card? ,"No, these are Card Not Present transactions i.e., transactions can be performed without having any card. How The customer would need to select bank name, provide his/her Aadhaar number, enter the amount, and provide his biometric data for initiating the transaction. If the biometric authentication is successful and there is sufficient balance then the transaction would go through successfully. Aadhaar number may be scanned from the Aadhaar Card if the customer is carrying the same. This will ease the entry of 12 digit Aadhaar number and avoid potential mistakes.",Banking Sector
269,Does the customer need to carry Aadhaar Card for transacting? ,"Carrying Aadhaar card is not mandatory. But, linking Aadhaar Number with the Bank account is a pre-requisite.",Banking Sector
270,Does the customer specifically need to register to be able to transact through BHIM Aadhaar? ,"Ideally No, but linking Aadhaar Number with Bank account is a pre-requisite. However, the registration process shall be as per the procedures laid down by the Issuer bank providing the service. Please check from the bank where you hold the Aadhaar linked bank account.",Banking Sector
271,What happens if a customer enters an incorrect Aadhaar Number or chooses a Bank where he doesnt have an account?,"If the customer enters an incorrect Aadhaar number/ selects an incorrect bank where he/she does not have an Aadhaar linked bank account, the transaction will decline with an appropriate response message. Further, as a customer may link his/her Aadhaar with multiple banks, the customer should select the correct bank, from where he wishes to make payment. In case, the customer has more than one account with the selected bank then only the primary account will be debited, and the customer cannot make a selection of bank account at the time of the transaction.",Banking Sector
272,How will the customer know that the transaction has been completed successfully? ,The status of the transaction will be available on the merchants mobile primarily. The customer will also receive an SMS from his/her Bank if registered for mobile alerts.,Banking Sector
273,How can the customer raise a dispute? ,The customer can raise a dispute/complaint with the bank they hold the account with. The bank will further raise it with the concerned bank via NPCIs Dispute Management System.,Banking Sector
274,How does BHIM Aadhaar verify my mobile number?,"Currently, while new merchant registration, this is basis an OTP verification sent out to the mobile number specified. This may change to app initiated outgoing encrypted SMS, which will happen in a transparent manner with no interaction with the user.",Banking Sector
275,I need to annul or cancel the last transaction completely. How do I do it?,"Cancelling a transaction is called Void transaction, currently, the same is not supported. It will be introduced soon. Till such time, the Merchant may use alternate channels to remit money to the customer electronically or pay equivalent cash.",Banking Sector
276,"If a customer has multiple accounts linked to his Aadhaar number, which account will be debited for making the payment? ",Primary account associated with Aadhaar,Banking Sector
277,I have other issues with the app. What should I do? ,Use the Report Bug link and write a short note without deleting additional report attached by the app.,Banking Sector
278,Whom should I contact if I have issues with accepting payments? ,Please get in touch with your acquiring bank helpdesk.,Banking Sector
279,What is the BHIM Cashback Scheme for Merchants?,"As part of this scheme, any merchant who is using BHIM or BHIM UPI Apps of the bank to receive money or send collect request will receive cashback based on eligibility criteria. As part of this scheme, merchant can receive cashback as:
BHIM APP User: User who has declared himself/herself as I am a Merchant on the BHIM App.
 BHIM UPI User of Bank Apps: Any merchant on-boarded on BHIM UPI by the banks either on their own or through 3rd party and are receiving credit transactions from BHIM/BHIM UPI App as per the scheme criteria",Banking Sector
280,Who is considered as a Merchant?,"For the purpose of the Merchant Cash back Scheme, a merchant would be defined as:
o   Any entity which is engaged in trading of goods and services and is receiving payment or sending collect request through BHIM App or BHIM UPI Apps of the Banks.
o   Merchant using BHIM App, the merchant has to declare himself/herself as I Am a Merchant and have MCC 0000
o   Merchant who has been acquired by the bank or any third party on behalf of the Bank on BHIM UPI Apps of the bank with defined MCC code other than 0000
o   All 3rd party Apps as well as large organized UPI merchants are eligible under the scheme.",Banking Sector
281,What are the Criteria for Merchants to qualify for cashback?, BHIM App Merchant should have received a minimum of 10 successful credit transactions on BHIM App in a calendar month from BHIM/BHIM UPI valid users. BHIM UPI Merchant of Bank should have received a minimum of 5 successful credit transactions on BHIM UPI App of Bank in a calendar month from BHIM/BHIM UPI valid users.,Banking Sector
282,What is the cashback that can be received as a Merchant on BHIM App?,"In a calendar month, for every credit transaction from 10th successful transaction on BHIM App only minimum transaction value of equal to or more than  25 per transaction will be considered as eligible transaction for the scheme, the merchant will receive cashback of 10 of transaction value with upper cap of  50 per transaction,
Following transactions are considered:
  Received credit or
  Sent collect request to/from valid UPI ID or
  Received credit by scanning QR code
Maximum Cashback that can be received by a merchant is  1000 per calendar month.
o   Examples:
  if you receive 100 successful credit transaction of value   50 per transaction,  Eligible cashback   500  5 10 of transaction value   50 x 100 credit transactions
  if you receive 15 successful credit transaction of value   600 per transaction,  Eligible cashback to be received   750  50 10 of transaction value with cap of  50 per transaction x 15 credit transactions",Banking Sector
283,What is the cashback that can be received as a Merchant of BHIM UPI Apps of Bank?,"In a calendar month, for every credit transaction from 5th successful transaction on BHIM UPI Apps of the bank only minimum transaction value of equal to or more than  25 per transaction will be considered as eligible transaction for the scheme, the merchant will receive cashback of 10 of transaction value with upper cap of  50 per transaction, 
Following transactions are considered:
  Received credit or
  Sent collect request to/from valid UPI ID or
  Received credit by scanning QR code
 
Maximum Cashback that can be received by a merchant is  1000 per calendar month.
o   Examples:
  if you receive 100 successful credit transaction of value   50 per transaction, Eligible cashback is  500  5 10 of transaction value   50 x 100 credit transactions
  if you receive 9 successful credit transaction of value   600 per transaction, Eligible cashback to be received is  450  50 10 of transaction value with cap of  50 per transaction x 9 credit transactions",Banking Sector
284,What is BHIM Scheme?,"The BHIM scheme is an initiative by Government of India to promote digital payments through BHIM, BHIM UPI Apps of Banks  99.

The scheme is targeted at two distinct users groups and payment types:
         Customer/ individual Cashback Scheme
         Merchant Cashback Scheme 

The scheme can be availed by BHIM/ BHIM UPI of banks who meet the eligibility criteria. Bank enabled UPI Apps who have not incorporated BHIM name in their App will not be considered as part of the scheme. The BHIM scheme is applicable for new  existing users in the ecosystem.",Banking Sector
285,What is the Referral Bonus Scheme for Individuals?,"As part of this scheme, any user who is using BHIM or BHIM UPI Apps of the bank to send money or accept collect request will receive cashback based on eligibility criteria. As part of this scheme, you can receive cashback as:

         Joining Cashback: User will receive cashback for using BHIM App for the first time for doing first successful financial transaction send or accept collect request with any user of BHIM or BHIM UPI Apps of the bank. Joining cashback is applicable for the BHIM App users only and cashback will be received only once.

         Cashback on Transactions: As an existing user of BHIM or BHIM UPI Apps of the bank, one can also earn monthly cashback for  doing successful financial transactionssend or accept collect request",Banking Sector
286,Who is considered as a New User?,"         Any new user who downloads the BHIM app for the first time and does one successful financial transaction

                             Or

         Existing BHIM user who has already downloaded BHIM APP but has not done any successful financial transaction.
                        Or

         Existing BHIM user who is using BHIM APP only to receive money but has never done any successful pay debit to his/her own account transaction via BHIM App.",Banking Sector
287,Who is considered as an existing user?,Any customer who is using BHIM or BHIM UPI Apps of the banks for sending or receiving money or accepting/sending collect request or scanning QR code will be treated as existing user.,Banking Sector
288,Who can participate in the scheme?,"         BHIM App Users:

o   New Users Anyone who downloads the BHIM App, links it to the bank account and does first successful financial transaction using BHIM app: On completing his/her first transaction as per eligibility criteria, the user will receive cashback.

o   Existing Users Users who are already using BHIM App for making payments: They shall be entitled to receive cashback on the financial transactions they do using BHIM App based on the eligibility criteria.

         BHIM UPI App Users of the Bank:

o   New and existingUsers Users who are the first time users of the BHIM UPI Apps of the banks or are already using BHIM UPI Apps of the bankfor making payments.Theyshall be entitled to receive cashback on transactions they do using BHIM UPI App based on eligibility criteria.

 ",Banking Sector
289,What is the cashback I can receive as New User of BHIM App?,"You will receive  51 cashback on completion of your first successful financial transaction of minimum amount  Re. 1 send money or accept collect request using your BHIM App. The cashback will be credited to the bank account of the user within 3 working days.

 

New users of BHIM UPI Apps of the banks are not eligible for receiving Joining Cashback as part of this scheme.",Banking Sector
290,What is the eligibility criteria to receive Joining Cashback under this scheme?,"         The minimum transaction value shall be equal to or more than to  1

         User should complete first financial transaction successfully i.e. send money or accept collect request with BHIM App only. Transaction done with any other BHIM UPI Apps of the bank is not eligible for joining cashback.

         The joining cashback will be received only once.

         BHIM APP user can transfer money to any BHIM/BHIM UPI user of the Bank, through UPI id , Account number  IFSC or scan QR code or intent

         The transaction shall cover both P2P as well as P2M transaction

         Only valid approved transaction from BHIM app or 99 will be considered for the scheme",Banking Sector
291,What is the cashback I can receive as Existing User of BHIM/BHIM UPI Apps of the Bank?,"         As an existing user of BHIM/BHIM UPI Apps of the Bank:

o   For maximum of 20 unique successful financial transactions per calendar month of value equal to or more than   100per transaction, you will receive a cashback of  25 per transaction

o   Eg: if user has done 10 unique successful financial transactions of transaction value equal to or more than  100 per transaction, then the eligible cashback will be   250  25 per transaction x 10 unique transactions

  if user has done 20 successful financial transaction of which 5 are unique and 15 are non-unique money transferred to the same users of transaction value equal to or more than  100 per transaction, then the eligible cashback will be  125  25 per transaction x 5 unique transactions

  Maximum cashback which can be received by a user is   500 per calendar month  25 per transaction x 20 unique transactions

o   If the minimum transaction value is   10 per transaction, the user will receive cashback based on the below slab:


Number of transactions per month
	Incentive to the BHIM user

25 but less than 50
	100

50 but less than 100
	200

100

	250

	



o   Eg:

  if user has done 35 successful financial transaction of which :

         5 are unique transactions of transaction value equal to or more than  100 per transaction

         30 are non-unique transactions of transaction value equal to or more than  10 per transaction, the eligible Cashback is  225  25 per transaction x 5 unique transactions   100 based on the above table

 
  if user has done 35 successful financial transaction of which :

         10 are unique transactions  of transaction valueequal to or more than  100 per transaction 

         25 are non-unique transactions of transaction value equal to or more than   10 per transaction, then the eligible Cashback is  350  25 per transaction x 10 unique transactions   100 based on the above table

          

  Maximum eligible cashback is  750 per user per calendar month  25 per transaction x 20 unique transactions   250 based on the above table",Banking Sector
292,What is the eligibility criteria to receive Cashback on transactions with BHIM / BHIM UPI Apps of the Bank under this scheme?,"The scheme is applicable to both BHIM as well as BHIM UPI users of the Bank

         For cashback on unique transactions: The minimum transaction value should be equal to or more than  100. A maximum of 20 unique successful financial transactions will be eligible for the cashback every month.

         For cashback on total transactions: The minimum transaction value should be equal to or more than  10,  slab-wise number of transactions which will be eligible per month are: 

o   25 transactions but less than 50 transactions

o   50 transactions but less than 100 transactions

o   100 transactions

         The  cashback will be paid on monthly basis

         The user can transfer money to any BHIM/BHIM UPI user of the Bank, through UPI id , Account number  IFSC or scan QR code or intent

         Only valid approved transactions from BHIM app and BHIM UPI Apps of the banks or 99 will be considered for the scheme",Banking Sector
293,How will I know if my transaction is successful?,"For every financial transaction, user can see the transaction status instantly on the app screen. If the transaction is delayed or pending, the final status will be posted on the transaction history page of BHIM/BHIM UPI Apps of the Bank.",Banking Sector
294,What is IMPS?,IMPS is an innovative real time payment service that is available round the clock. This service is offered by National Payments Corporation of India NPCI that empowers customers to transfer money instantly through banks and RBI authorized Prepaid Payment Instrument Issuers PPI across India.,Banking Sector
295,What are the benefits of IMPS?," Instant
 Available 24 x7 functional even on holidays
 Safe and secure, easily accessible and cost effective
 Channel Independent can be initiated from Mobile/ Internet / ATM channels
 Debit  Credit Confirmation by SMS",Banking Sector
296,What are the services available under IMPS?," Funds Transfer and Remittances
1. Sending Money
2. Receiving Money

Query Service on Aadhaar Mapper QSAM

QSAM Query Service on Aadhaar Mapper  This service helps user in knowing their Aadhaar Seeding status with their bank account.

 This service can be availed by dialling 9999
 User will know whether his/her AADHAAR number is seeded/linked to any bank account number or not 
 If yes, then with which bank and when it was last updated",Banking Sector
297,How do I transfer funds using IMPS?,"The following channels may be used to initiate IMPS transactions.

 Mobile phones
 Smartphone- Bank App/ SMS / WAP/USSD NUUP 
 Basic phone-SMS/USSD NUUP
 Internet- Banks Internet banking facility
 ATM-By Using ATM Card at Banks ATM

The sender enters receivers details like:

 MMID  Mobile no. or Account number  IFS Code or Aadhaar number
 Amount to be transferred
 Remarks/Payment Reference number 
 Senders M-PIN

Both sender  receiver get SMS confirmation.",Banking Sector
298,Does the customer need to register to remit the funds through IMPS?,"For using IMPS on mobile phones, a customer will have to register for mobile banking with his/her individual bank. However, for initiating IMPS using Bank branch, Internet banking and ATM channels, no prior Mobile banking registration is required.",Banking Sector
299,Does the customer need to have a bank account for availing IMPS? ,"Both banked as well as un-banked customer can avail IMPS. However, unbanked customer can initiate IMPS transaction using the services of Pre-Paid Payments instrument issuer PPI.",Banking Sector
300,Can a customer link more than one account to the same mobile number?,"Yes, customer can link more than one account to the same mobile number. However each A/C no. will have different MMID.",Banking Sector
301,What is MMID? How do I get this Issued?,"Mobile Money Identifier is a 7 digit number, issued by banks. MMID is one of the input which when clubbed with mobile number facilitates fund transfer. Combination of Mobile no.  MMID is uniquely linked with an Account number and helps in identifying the beneficiary details. Different MMIDs can be linked to same Mobile Number. Please contact your bank for getting the MMID issued",Banking Sector
302,What are the options available for a customer for doing IMPS transaction?," Using Beneficiary Mobile no. and MMID
 Using Beneficiary Account no. and IFS Code
 Using Beneficiary Aadhaar Number",Banking Sector
303,Who all are offering IMPS?,Banks and non-bank entities RBI authorized PPIs are offering IMPS to the customers across India. List of member banks and PPIs providing the IMPS services is available onhttp://www.npci.org.in/bankmember.aspx,Banking Sector
304,Is the facility of Stop payments is available on IMPS?,"No, IMPS is an immediate fund transfer service, after initiating the payment request payment cannot be stopped or cancelled.",Banking Sector
305,"If I change my Mobile no., do I again need to register for Mobile Banking?","Yes, customer needs to update their new mobile number with their banks.",Banking Sector
306,"If I change my Telecom service provider, do I need to register again? ","No need for re-registration if there is no change in mobile no., Registration is only requested if there is a change in mobile number only.",Banking Sector
307,What are the timings for initiating and receiving IMPS remittances?,"IMPS transactions can be sent and received 24X7, round the clock, including on holidays.",Banking Sector
308,Where do I register a complaint with reference to the IMPS transaction?,Customer can log IMPS complaint with their respective banks.,Banking Sector
309,What are the charges for the customer for sending and receiving remittances using IMPS?,The charges for remittance through IMPS are decided by the individual member banks and PPIs.Please check with your bank or PPI.,Banking Sector
310,What are drugs and cosmetics?,"Drugs include all medicines intended for internal or external use for or in the diagnosis, treatment, mitigation, or prevention of disease or disorder in human beings or animals. Cosmetic means any article intended to be rubbed, poured, sprinkled or sprayed on or introduced into, or otherwise applied to, the human body or any part thereof for cleansing, beautifying, promoting attractiveness, or altering the appearance, and includes any article intended for use as a component of cosmetic. The pharmaceutical industry in India is currently valued at 50 Bn. The pharmaceutical industry in India is expected to reach 65 Bn by 2024 and 130 Bn by 2030. This indeed attracts the need to be stringently regulated because of the sheer nature of the product and its use.",Drugs and Cosmetics sector
311,How are drugs and cosmetics regulated in India?,"The pandemic also saw a rise in the development of the pharmaceutical sector in India. With programmes like Pharma Vision 2020, which aims to make India the most desirable location for the creation of new drugs, it is obvious that the size of this industry will only increase.
To address medical conditions, people use drugs and cosmetics. The creation and approval of drugs for human consumption must therefore ensure that the drugs are of an acceptable quality and do not have any side effects. Additionally, medication costs must be kept under control to ensure that everyone has access to healthcare.",Drugs and Cosmetics sector
312,What are the grounds for consumer complaints about drugs and cosmetics?,"1. If drug or cosmetic is adulterated:
a. if it consists of any filthy or decomposed substance
b. if it is prepared, packed, or stored under insanitary conditions.
c. if the container is composed of any poisonous substance
d. if it contains any harmful or toxic substances.
e. if any substance is mixed so as to reduce its quality or strength.
f. if it bears any colour for the purpose of colouring only, a colour which is not prescribed
2. Overcharging
3. Selling of untested drugs/drugs of poor quality.
4. Overcharging of medical devices.
5. Refusal to sell drugs.
6. Shortage or non-availability of drugs.
7. Allergic reactions or harmful side effects not adequately disclosed.
8. False or exaggerated claims about product benefits.
9. Missing or unclear information on ingredients/ Insufficient usage instructions.
10. Claims about the products effectiveness that are not substantiated.
11. Poor product quality or defects.
12. Selling products beyond their expiration date.
13. Lack of proper warnings for potential risks associated with product use.",Drugs and Cosmetics sector
313,"What are the modes or methods of complaint available?
","1. The first step is to approach the manufacturing company through their customer care to
register the grievance.
2. The consumer can also approach the drug controller of the concerned state in case of a banned
drug, side effects, adulteration- https://cdsco.gov.in/opencms/opencms/en/State-Drugs-Control/
State Drugs Helpdesk- helpdesk.statedrugcdsco.nic.in
If not satisfied with the response, approach the Drug Controller General of India-
https://cdsco.gov.in/opencms/opencms/en/About-us/who/
3. Register complaint with CDSCO-
https://cdsco.gov.in/opencms/opencms/en/About-us/contact-us/
Telephone directory, CDSCO-
https://cdsco.gov.in/opencms/opencms/en/About-us/TelephoneDirectory/
4. Approaching any other appropriate judicial or quasi-judicial body:
The complainant is free to take the service provider to a court or any other suitable venue
judicial or quasi-judicial. The proceedings in consumer commissions are not mired by the
niceties of procedure, allowing the complainant to file a complaint for himself. As a consumer,
the aggrieved party can take the service provider to the appropriate consumer commission, based
on the pecuniary and territorial jurisdiction. The jurisdictions of the various consumer
commissions are as follows-
a District Commission: The aggrieved consumer can reach out to the District Commission under
section 34 of the CPA, 2019, which provides that the district commission shall entertain matters
where the value of the goods or services paid as consideration does not exceed more than one
crore rupees.
b State Commission: In cases where the value of the goods or services paid as consideration is
more than one crore, but less than 10 crores, the consumer can approach the State Commission.
Moreover, in cases of unfair contracts, the State Commission has original jurisdiction and the
consumer can be directly approached. An appeal against the order of the District Commission
can also be made under section 47 of the CPA, 2019.
c National Commission: The National Commission can entertain matters where the value of goods or services paid as consideration exceeds 10 crores. Section 58 also provides that complaints against unfair contracts can be entertained by NCDRC when the amount of value paid exceeds 10 crores. The NCDRC also has appellate jurisdiction against the orders of any State Commission and Central Authority. http://www.ncdrc.nic.in/districtlist.html
Moreover, it must also be kept in mind that section 100 of the CPA, 2019 provides that the remedy under CPA is in addition and not in derogation of other available remedies.
5. Central Consumer Protection Authority
If the commission finds violations of rights of consumers or in notice of trade practices which is
unfair it can inquire or cause an inquiry, either on receipt of complaint or suo moto or as directed by Central Government. If the commission finds, after preliminary inquiry, of an existence of a prima facie case of consumer rights violation or it is in notice of any unfair trade practice or any wrong or inaccurate advertisement which is prejudicial to public interest or to the interests of the consumers,it can order an investigation by the District Collector or by Director General. The consumer can complain to the District Collector of the respective district for investigation and subsequent proceedings by the CCPA. He/she/they can also submit a complaint via email, at com-ccpanic.in.",Drugs and Cosmetics sector
314,When would complaints not be accepted?,"There are various situations which might cause the complaint to be rejected. These include
situations where the consumer is unable to file an appeal against an order within a period of three
months, where the complaint is based on a frivolous cause of action, where the complaint falls
outside the jurisdiction of the authority approached, and when the complaint has been filed under
wrong sections of the act, and other such situations. This requires careful reading of all acts and
regulations.",Drugs and Cosmetics sector
315,What are some Sample consumer complaints on drugs and cosmetics?,"https://cdrc.gujarat.gov.in/images/pdf/1-CC-Eng.pdf - DCDRC format.
https://cdrc.gujarat.gov.in/images/pdf/1-CC-Eng.pdf - SCDRC format.
https://ncdrc.nic.in/cc.html - NCDRC format.",Drugs and Cosmetics sector
316,What are the regulatory bodies in this sector?,"Central Drugs Standard Control Organization CDSCO Directorate General of Health Services, Ministry of Health and Family Welfare, Government of India regulate the approval of any drugs in India.
The National Pharmaceutical Pricing Authority is a government body that regulates the price of drugs in India.",Drugs and Cosmetics sector
317,"What are the rules, Acts, and Guidelines that govern this sector?","The Drugs and Cosmetics Act, 1940 As amended up to the 30th June, 2005
https://cdsco.gov.in/opencms/export/sites/CDSCOWEB/Pdf-documents/actsrules/2016DrugsandCosmeticsAct1940Rules1945.pdf
The Drugs and Cosmetics Amendment Act, 2008
https://cdsco.gov.in/opencms/export/sites/CDSCOWEB/Pdf-documents/actsrules/DCACTAMENDMENT2008file.pdf
The Drugs and Cosmetics Rules, 1945 As amended up to the 30th June, 2005
https://cdsco.gov.in/opencms/export/sites/CDSCOWEB/Pdf-documents/actsrules/2016DrugsandCosmeticsAct1940Rules1945.pdf
New Drugs and Clinical Trials Rules, 2019
https://cdsco.gov.in/opencms/export/sites/CDSCOWEB/Pdf-documents/NewDrugsCTRules2019.pdf
The Cosmetic Rules, 2020
https://cdsco.gov.in/opencms/opencms/en/Acts-and-rules/Cosmetics-Rules/
The Drugs and Magic Remedies Objectionable Advertisements Act, 1954
https://cghealth.nic.in/CFDA/Doc/ActsRules/Drugs20and20Magic20Remedies20Objectionable20Advertisement20Act,201954.pdf
The Drug Price Control Order, 2013
https://www.nppaindia.nic.in/wp-content/uploads/2018/12/DPCO201303082016.pdf",Drugs and Cosmetics sector
318,What are the landmark judgements in this sector?,"Dinesh B. Patel v. State of Gujarat
The dispute arose from the sale of medicines by M/s. Denis Chemical Lab. Ltd., which were later found to contain fungus. The legal issue focused on whether the manufacturer could be held liable under Section 34 of the relevant act, which holds the entire company and associated individuals responsible for offenses committed by the company. The court, considering the severity of the allegations and the direct impact on public health, opted not to take a strictly technical view based solely on the complaints pleadings. The court rejected the argument that specific averments about the active role of directors, as required in other legal contexts, should apply in this case. Emphasizing the unique language of Section 342 of the Act and the gravity of offenses affecting public health, the court upheld the High Courts order. The directors were granted the opportunity to demonstrate to the Trial Court that they were not involved in the manufacturing process and, therefore, should not be held liable under Section 342 of the Act. The appeal was dismissed with these observations.
Common Cause v. Drug Controller of India and Others
In the case of Common Cause v. Drug Controller of India and Others 1991, a complaint was made to the National Consumer Disputes Redressal Commission under Section 21f of the Consumer Protection Act defective goods of the lack of adequate quality control in the manufacturing and bottling of intravenous fluids given to patients, leading to defects in the fluids. In this case, the defect was the presence of fungus due to the poor quality of the fluid itself and the inadequate cleaning and sealing of the bottle containing it. The Drug Controller was ordered by the Commission to constitute an expert committee to review the provisions of the existing legislation regulating quality control and make recommendations. The Committee made certain
recommendations for protecting the public against the possibility of contamination of I. V. fluids. This case reiterates the fact that the rational drug policy must be accompanied by sustained campaign to enhance awareness of consumers. The literate and enlightened consumers have a greater role and responsibility for materialising the above objective as they can amplify the process of educating and enlightening the illiterate and ignorant consumers.",Drugs and Cosmetics sector
319,What are the important links and resources?,"INGRAM- https://consumerhelpline.gov.in/faq-details.phpfidDrugs20and20Cosmetics
Consumer Guide, CDSCO- https://cdsco.gov.in/opencms/opencms/en/consumer/
Pharma Jan Samadhan scheme- https://www.nppaindia.nic.in/wp-content/uploads/2018/07/Online-Complaint-System.pdf",Drugs and Cosmetics sector
320,What is generic medicine?,"According to WHO, A generic drug is a pharmaceutical product, usually intended to be interchangeable with an innovator product that is manufactured without a license from the innovator company and marketed after the expiry date of the patent or other exclusive rights . A generic drug is identical -- or bioequivalent -- to a brand name drug in dosage form, safety, strength, route of administration, quality, performance characteristics and intended use. Although generic drugs are chemically identical to their branded counterparts, they are typically sold at substantial discounts from the branded price.",Drugs and Cosmetics sector
321,What is theDrug development process for generic drugs?,"Whenever a new potential pharmaceutical product is identified, the inventor individual or company files for protection of their intellectual property. This pharmaceutical product is now patent protected and no one can produce it without permission or license from a patent holder. Patents are transferable following a legal process involving payment of royalty. Innovator Company is the first one to identify or develop and market the pharmaceutical product. Once the duration of patent protection expires usually 20 years unless specified, the product can be
manufactured and marketed by anyone without permission from the innovator provided it shows bioequivalence with the innovators product. These products are called generics and manufacturers are called generic manufacturers while those from innovator companies are called branded.",Drugs and Cosmetics sector
322,What are branded generics?,"Once the patent period of a drug is over, any company can manufacture and market the drug without the permission of the innovator company , as long as it shows bioequivalence, that is, prove to the drug regulator that the copy releases the same amount of the active ingredient and is absorbed by the body in the same way as the original or innovator drug. Such a proven copy of a drug is called its generic version.",Drugs and Cosmetics sector
323,What is the difference between branded generics and generic generics?,"The difference is in the name. One is sold under a brand name and the other is sold under a generic name. But both are generic drugs, that are their patent has expired. Generic drugs are sold by the non-proprietary name or generic name instead of a brand name. The international non-proprietory name INN is a unique name given to identify pharmaceutical substances or active pharmaceutical ingredients. INN is globally recognised and is public property unlike a brand name that belongs to a particular company. A nonproprietary name, also known as generic name, is the simplified name for a chemical product. Since it is impossible to remember the chemical name for most people, the INN for this is pioglitazone. So, this chemical can be sold by its INN or generic name, as pioglitazone, or it can be given a brand name Pioglar from Ranbaxy , Pioz by USV , Pioped by Torrent and sold as a branded generic.",Drugs and Cosmetics sector
324,Why are generic prescriptions preferred?,"Companies spend huge amounts of money on promoting their branded generics and that cost is added to the drugs price, making them much more costly than generic named drugs. To bring down the cost of prescription drugs, most health systems opt for generic named drugs and ensure that the quality of generic drugs are maintained. Only generic names are used in medical and pharmacological textbooks. It is expected that the use of generic names will ensure production, sale, and dispensing of more rational, single ingredient drugs.",Drugs and Cosmetics sector
325,Why do doctors in India object to prescription using generic names?,"Doctors are often influenced by the marketing practices of pharmaceutical companies and believe that drugs being sold under trade names are of better quality. There are also genuine concerns about the quality of many of the branded generic drugs and the generic name drugs. With very high margins for retailers on generic drugs, both branded as well as generic name drugs, doctors fear that their generic prescriptions will be used by pharmacists to push the products of companies that give them the highest margins. Doctors fear that while they are directly held responsible to the patient for treatment, the pharmacists would not be held liable for dispensing poor quality drugs.",Drugs and Cosmetics sector
326,What is the status of generic prescriptions in developed countries?,"Since the economic crisis of 2008, most developed nations have taken several measures to push the prescription of generic drugs. In 2013, generics accounted for more than three-quarters of the volume of pharmaceuticals sold in the US, UK, Chile, Germany and New Zealand. Generics accounted for well over one quarter of the market in Italy , France and Japan. Prescribing in INN is permitted in two thirds of OECD countries and mandatory in France, Spain, Portugal and Estonia. Many developed countries have also fixed price caps for generic drugs, either by bulk procurement through tenders or by fixing it as a certain percentage of the brand-names price.",Drugs and Cosmetics sector
327,Are generic drugs as effective as brand-name drugs?,"Yes. A generic drug is the same as a brand-name drug in dosage, safety, strength, quality, the way it works, the way it is taken and the way it should be used.
Not every brand-name drug has a generic drug. When new drugs are first made they have drug patents. Most drug patents are protected for 20 years. The patent, which protects the company that made the drug first, doesnt allow anyone else to make and sell the drug. When the patent expires, other drug companies can start selling a generic version of the drug. But, first, they must test the drug and the concerned authority must approve it.
Creating a drug costs lots of money. Since generic drug makers do not develop a drug from scratch, the costs to bring the drug to market are less therefore, generic drugs are usually less
expensive than brand-name drugs. But, generic drug makers must show that their product performs in the same way as the brand-name drug",Drugs and Cosmetics sector
328,What standards do generic drugs have to meet to be available for public consumption?,"Before marketing the drug, generic manufacturers need to obtain permission from relevant drug regulatory authorities.
First, any drug manufactured should follow good manufacturing practices guidelines, the enforcement of which is the responsibility of drug regulators. The manufacturing units should obtain certification in this regard from drug regulators of the respective Country.
Second, there is a requirement for in-vitro dissolution and in-vivo bio-availability and bio-equivalence BA-BE testing of new brand from generic manufacturer which compares the release of active pharmaceutical ingredient API on certain dissolution and liberation characteristics and pharmacokinetic parameters Cmax, Tmax, and area-under-the-curve with those from reference standard. If dissolution and BA-BE of API is within acceptable range only then, the new brand is approved for marketing. This ensures that the quality of drugs marketed by generic manufacturers is as good as the one marketed by the innovators. In-vivo BA-BE studies are required only at the time of seeking approval for marketing and not after that while in-vitro studies can be performed anytime.
Health professionals and consumers can be assured that approved generic drugs have met the same rigid standards as the innovator drug.
contain the same active ingredients as the innovator druginactive ingredients may vary
be identical in strength, dosage form, and route of administration
have the same use indications
be bioequivalent
meet the same batch requirements for identity, strength, purity, and quality
be manufactured under the same strict standards of FDAs good manufacturing practice regulations required for innovator products",Drugs and Cosmetics sector
